study,group,occult_hypoxemia_rate_percent,spo2_overestimation_pp,source_type,notes
Sjoding_NEJM_2020,White,3.6,,published,"Occult hypoxemia defined as SaO2 < 88% with SpO2 92-96%."
Sjoding_NEJM_2020,Black,11.7,,published,"Black patients had approximately three times the occult hypoxemia frequency of White patients."
Fawzy_JAMA_IM_2022,White,17.2,0.0,published,"COVID cohort; White group used as comparison group for overestimation."
Fawzy_JAMA_IM_2022,Asian,30.2,1.7,published,"COVID cohort; overestimation relative to White patients."
Fawzy_JAMA_IM_2022,Black,28.5,1.2,published,"COVID cohort; overestimation relative to White patients."
Fawzy_JAMA_IM_2022,Hispanic,29.8,1.1,published,"COVID cohort; overestimation relative to White patients."
VA_ESP_2021,White,,0.5,published_summary,"Mean SpO2 minus SaO2 bias summarized in project evidence notes."
VA_ESP_2021,Hispanic,,0.9,published_summary,"Mean SpO2 minus SaO2 bias summarized in project evidence notes."
VA_ESP_2021,Asian,,1.3,published_summary,"Mean SpO2 minus SaO2 bias summarized in project evidence notes."
VA_ESP_2021,Black,,1.7,published_summary,"Mean SpO2 minus SaO2 bias summarized in project evidence notes."
